so2_data_quality,atmospheric_variability,aerosol_optical_depth
12,99.99,3.46
12,99.9,1.608
12,99.94,0.756
12,99.99,0.74
12,99.99,3.637
12,99.42,0.519
12,99.99,2.156
12,99.98,0.708
12,99.79,2.4
12,999.0,1.465
12,100.0,2.715
12,96.77,2.598
12,100.0,1.878
12,100.0,2.819
12,100.0,4.584
12,97.7,2.67
12,99.99,3.517
12,100.0,1.692
12,88.0,2.442
12,99.99,3.58
12,99.99,2.017
12,99.96,0.442
12,99.99,0.442
12,99.98,2.148
12,999.0,2.809
12,100.0,2.356
12,999.0,2.629
12,99.97,6.22
12,100.0,4.592
12,99.99,2.405
12,99.74,2.203
12,99.9,3.158
12,99.05,0.838
12,99.87,0.41
12,99.94,0.41
12,97.82,0.271
12,99.33,0.271
12,98.99,0.327
12,99.98,0.327
12,99.11,0.198
12,97.69,0.198
12,95.68,0.283
12,99.94,0.283
12,99.98,0.411
12,99.85,0.265
12,99.83,0.265
12,99.73,0.162
12,98.5,0.162
10,22.38,0.141
10,19.94,0.141
12,100.0,6.669
12,26.64,6.669
12,99.82,0.615
10,24.43,0.122
10,20.99,0.122
10,55.32,0.154
12,98.57,0.154
12,59.94,0.901
10,11.49,0.13
10,10.35,0.13
10,42.89,0.135
12,78.44,0.135
10,13.61,0.137
10,8.8,0.137
10,14.22,0.127
10,13.47,0.127
10,37.02,0.142
10,28.27,0.142
12,99.92,2.519
10,36.68,0.142
12,99.04,0.142
12,99.97,1.503
12,86.87,0.196
12,99.59,0.196
12,90.84,0.19
12,99.87,0.19
10,22.46,0.124
10,26.53,0.124
10,33.23,0.13
10,14.11,0.13
12,99.95,0.171
12,99.47,0.171
12,999.0,2.998
12,99.98,3.076
12,99.98,0.696
10,35.58,0.133
12,99.92,0.184
12,100.0,3.254
10,35.16,0.132
10,33.34,0.115
12,999.0,1.706
12,99.97,3.543
12,99.95,3.438
12,93.81,0.643
10,31.02,0.124
10,29.55,0.111
10,21.85,0.118
12,99.98,1.568
12,89.25,0.141
10,16.14,0.127
10,38.0,0.13
11,18.87,0.114
11,18.31,0.118
11,15.32,0.12
11,12.4,0.12
11,15.65,0.121
12,3.53,0.131
12,7.13,0.161
12,78.54,0.128
12,1.82,-0.005
12,15.75,0.112
12,46.78,0.104
12,62.07,0.136
12,57.89,0.148
12,61.02,0.128
12,48.7,0.125
11,47.54,0.121
11,55.17,0.122
11,55.17,0.124
10,51.84,0.123
10,62.73,0.122
12,83.95,0.12
10,52.65,0.119
10,54.29,0.119
12,87.32,0.119
10,45.38,0.121
10,23.05,0.119
10,53.88,0.123
10,57.96,0.125
10,63.83,0.127
10,53.49,0.127
10,52.89,0.13
10,34.74,0.124
10,45.34,0.128
10,53.79,0.133
10,58.96,0.134
10,60.3,0.135
10,46.74,0.134
10,43.26,0.131
10,51.2,0.131
10,56.55,0.137
10,47.72,0.137
10,39.42,0.139
10,23.21,0.139
10,54.51,0.133
10,55.04,0.133
10,40.78,0.135
10,50.08,0.135
10,44.14,0.135
10,44.27,0.135
10,44.36,0.132
10,39.82,0.132
10,46.88,0.134
10,55.68,0.134
12,87.64,0.135
10,52.23,0.135
10,57.64,0.135
10,46.31,0.135
10,53.08,0.134
10,52.34,0.134
10,41.94,0.137
10,47.68,0.137
10,41.99,0.134
12,89.69,0.134
12,96.66,0.155
12,98.93,0.155
10,42.26,0.14
10,51.1,0.14
10,36.86,0.146
10,22.63,0.146
10,31.35,0.154
10,29.46,0.154
10,44.6,0.154
10,35.91,0.154
12,99.6,1.102
10,21.69,0.15
10,19.67,0.15
10,32.87,0.147
10,53.06,0.147
10,38.56,0.145
10,28.75,0.145
10,16.56,0.155
10,25.1,0.155
10,11.88,0.136
10,26.04,0.136
10,13.67,0.145
10,7.83,0.145
10,10.67,0.161
10,9.43,0.161
10,11.3,0.155
10,9.8,0.155
10,17.94,0.15
10,8.35,0.15
10,19.18,0.149
10,15.44,0.149
10,31.42,0.153
10,29.61,0.153
10,4.52,0.153
10,4.29,0.153
10,11.39,0.154
10,8.83,0.154
10,11.75,0.15
10,18.89,0.15
10,16.19,0.145
10,15.03,0.145
10,14.07,0.164
10,14.92,0.164
10,8.89,0.161
10,8.35,0.161
10,14.8,0.161
10,27.37,0.161
10,13.85,0.147
10,10.88,0.147
10,9.11,0.145
10,20.18,0.145
12,99.94,0.815
10,9.21,0.156
10,11.46,0.156
10,8.98,0.163
10,7.39,0.163
10,11.1,0.158
10,20.33,0.158
12,99.96,4.911
10,11.78,0.176
10,27.04,0.176
12,99.35,0.345
12,99.97,0.345
12,77.62,0.176
10,17.37,0.174
10,8.53,0.18
12,99.94,0.323
12,99.98,4.776
12,99.97,0.376
12,99.86,5.416
12,99.73,0.439
10,8.22,0.179
12,99.94,0.277
12,99.99,0.561
12,94.59,0.204
10,20.56,0.196
12,99.92,2.101
10,39.89,0.195
12,81.68,1.246
10,22.08,0.183
12,81.35,0.195
10,9.16,0.192
12,90.76,0.197
10,5.2,0.191
10,9.81,0.191
10,1.54,0.198
10,23.34,0.201
10,54.12,0.205
12,99.99,0.88
12,99.85,0.937
12,99.6,0.267
12,99.35,2.495
12,999.0,2.573
12,99.75,1.552
11,68.12,0.281
12,97.63,0.436
10,44.32,0.222
10,24.28,0.216
10,40.01,0.216
10,9.89,0.218
10,12.24,0.216
10,19.95,0.215
10,34.06,0.212
10,11.19,0.213
10,0.25,0.22
10,37.02,0.216
10,18.88,0.209
10,24.49,0.205
10,22.37,0.203
10,15.35,0.203
10,13.77,0.204
10,26.07,0.209
10,32.01,0.202
10,25.5,0.208
10,15.6,0.212
10,29.43,0.206
10,51.28,0.238
10,25.77,0.219
12,99.96,0.798
12,99.97,2.107
12,96.15,0.298
12,99.98,4.749
12,99.99,2.68
12,99.74,5.567
12,99.82,3.697
12,99.93,4.506
12,-24.28,2.421
12,99.82,3.629
12,99.89,4.015
12,99.95,4.216
12,99.99,2.957
12,96.56,4.575
12,99.7,2.702
12,89.68,0.5
10,45.54,0.434
12,99.91,0.427
12,99.87,1.081
12,76.81,2.025
12,99.91,3.493
12,99.95,4.63
12,98.57,1.541
10,49.96,0.354
10,5.1,0.298
12,99.45,0.317
10,17.89,0.309
12,99.95,0.395
12,21.05,0.227
12,11.67,0.243
12,24.35,0.289
12,8.29,0.25
12,20.46,0.266
12,6.71,0.255
11,17.25,0.249
11,19.07,0.253
10,18.79,0.253
12,76.61,0.247
10,14.81,0.254
10,6.09,0.252
10,10.38,0.245
10,10.7,0.255
10,16.33,0.251
10,7.31,0.261
10,13.83,0.264
10,5.31,0.256
10,12.82,0.265
10,8.39,0.263
12,95.16,0.248
10,12.54,0.243
10,12.4,0.235
10,6.76,0.229
10,13.19,0.223
10,8.67,0.23
10,10.52,0.229
10,12.36,0.225
10,10.69,0.245
10,25.82,0.251
10,17.0,0.257
12,96.59,0.261
10,8.65,0.262
10,18.71,0.273
10,7.97,0.28
10,21.62,0.289
10,28.88,0.302
10,11.61,0.301
10,19.35,0.293
10,8.41,0.292
10,23.74,0.267
10,16.45,0.289
10,7.43,0.286
10,20.16,0.277
10,18.19,0.246
12,76.49,0.3
10,35.6,0.296
10,31.85,0.334
10,52.95,0.389
12,-31.58,2.422
12,93.61,0.557
12,91.88,0.452
12,99.98,1.2
12,48.55,1.011
12,91.12,0.336
12,99.93,3.261
10,23.47,0.333
10,35.75,0.359
12,81.24,0.384
12,99.7,0.716
10,12.61,0.397
10,52.17,0.37
10,14.13,0.352
10,27.22,0.335
10,23.75,0.328
10,21.64,0.325
10,14.48,0.334
10,19.31,0.337
10,32.87,0.322
10,16.69,0.325
10,20.78,0.353
12,73.49,0.359
10,55.48,0.358
10,63.86,0.364
11,66.42,0.353
11,71.8,0.359
10,44.99,0.362
12,83.79,0.356
12,99.87,0.712
12,99.93,1.218
12,99.24,2.005
12,88.11,0.7
12,79.17,0.271
12,99.92,2.62
12,99.76,2.993
12,99.89,2.588
12,99.85,2.981
12,99.58,1.613
12,90.66,0.826
12,96.23,0.618
12,99.53,0.83
12,95.67,0.692
12,91.94,0.611
10,16.32,0.35
10,30.27,0.351
10,25.39,0.341
12,98.77,0.614
12,99.73,0.598
10,23.72,0.328
10,38.13,0.33
10,23.27,0.34
10,22.25,0.358
10,22.37,0.393
10,20.05,0.415
12,96.74,0.995
12,99.94,0.813
12,90.8,0.688
12,97.41,1.329
12,92.08,1.544
12,99.57,1.887
12,97.97,2.43
10,42.4,2.142
12,74.19,1.826
12,93.64,1.833
12,99.93,3.967
12,99.74,3.317
12,97.31,2.649
12,79.33,2.29
12,99.89,1.898
12,92.19,3.086
12,84.6,2.664
12,99.96,5.377
12,99.93,4.887
12,99.98,5.387
12,98.55,4.333
12,99.73,5.108
12,66.69,0.406
12,88.58,0.419
12,76.0,0.405
12,78.08,0.353
12,85.29,0.329
11,49.46,0.335
11,42.63,0.348
11,66.33,0.357
12,89.61,0.369
10,59.38,0.375
10,17.49,0.36
10,27.08,0.352
10,26.36,0.357
10,32.29,0.365
10,24.15,0.373
10,28.29,0.363
10,50.54,0.381
10,20.95,0.384
10,21.7,0.361
10,36.83,0.382
10,6.97,0.415
10,16.88,0.38
10,49.58,0.385
10,20.38,0.389
10,18.84,0.383
12,87.98,0.429
10,23.99,0.416
12,99.94,0.786
12,85.12,0.998
12,99.89,0.642
12,99.84,0.57
10,50.85,0.427
10,45.49,0.395
10,40.74,0.391
10,45.46,0.391
10,51.13,0.401
12,97.93,0.548
10,52.28,0.693
12,99.89,1.18
12,92.81,0.706
12,99.93,0.933
12,99.99,3.494
12,999.0,5.2
12,99.93,5.636
12,99.46,1.874
12,99.98,1.212
12,99.69,0.567
12,98.29,0.751
12,97.34,0.821
12,99.84,1.706
12,99.63,0.866
12,90.89,0.587
12,98.44,0.587
11,72.94,0.518
12,79.35,3.037
10,61.65,0.515
12,98.67,3.796
12,99.48,3.295
12,99.88,2.199
12,98.49,1.158
12,99.88,0.652
12,90.08,2.941
12,98.71,0.564
12,99.58,0.797
12,99.54,4.575
12,999.0,3.756
12,99.97,1.279
12,99.08,0.724
12,97.47,0.78
12,92.43,0.619
12,92.05,0.611
12,90.18,0.69
12,96.96,0.65
12,77.85,1.997
12,99.96,1.096
12,-532.64,2.838
12,99.79,0.536
12,98.65,0.567
12,93.75,0.479
12,99.95,0.659
12,99.97,0.814
12,96.26,0.546
12,98.08,0.451
12,96.45,0.464
12,98.92,0.57
12,99.25,0.439
11,69.76,0.377
12,99.6,0.521
12,99.51,0.45
12,99.73,0.623
12,99.59,0.474
12,11.66,0.214
12,-3.99,0.256
12,0.94,0.267
12,-0.32,0.267
12,12.17,0.272
12,18.17,0.278
11,14.8,0.273
11,27.91,0.274
10,10.32,0.278
10,21.88,0.282
10,40.57,0.283
10,41.9,0.276
10,13.77,0.268
10,14.79,0.265
10,52.67,0.275
10,28.01,0.272
10,19.77,0.288
10,15.12,0.299
10,26.39,0.296
10,22.35,0.276
10,22.73,0.258
10,22.49,0.268
10,18.69,0.263
10,15.12,0.253
10,13.25,0.256
10,13.5,0.252
10,16.89,0.253
10,30.42,0.254
10,17.05,0.264
10,12.81,0.258
10,20.96,0.267
10,13.21,0.262
10,15.63,0.263
10,17.35,0.263
10,15.09,0.268
10,19.28,0.268
10,12.06,0.261
10,26.23,0.261
10,22.1,0.258
10,17.01,0.258
12,99.83,0.251
12,87.07,0.251
10,20.14,0.254
12,87.99,0.254
11,67.77,0.27
10,25.43,0.27
12,97.14,0.279
11,65.37,0.279
12,99.23,0.283
12,98.12,0.283
11,68.41,0.281
10,33.84,0.281
10,18.48,0.289
10,18.28,0.289
10,18.16,0.284
10,23.46,0.284
10,19.92,0.292
10,20.1,0.292
10,16.94,0.287
10,21.31,0.287
10,19.34,0.312
10,32.27,0.312
10,18.95,0.281
10,25.33,0.281
10,15.21,0.302
10,16.27,0.302
10,19.07,0.353
10,45.72,0.353
10,37.23,0.33
10,36.44,0.33
10,44.46,0.336
10,39.95,0.336
10,33.27,0.357
10,38.05,0.357
10,47.51,0.345
10,47.91,0.345
11,66.85,0.355
10,30.55,0.355
10,29.89,0.361
10,24.81,0.361
10,24.1,0.328
10,29.38,0.328
10,24.06,0.332
10,55.69,0.332
11,69.66,0.373
11,69.98,0.373
11,64.83,0.37
10,25.92,0.37
10,47.07,0.312
10,50.58,0.312
11,67.76,0.311
10,56.55,0.311
10,16.11,0.308
10,15.65,0.308
10,40.84,0.335
10,15.75,0.335
10,32.62,0.316
10,36.61,0.316
12,98.13,0.329
10,60.84,0.329
10,35.23,0.343
10,39.48,0.343
10,41.05,0.32
10,27.64,0.32
10,35.29,0.315
12,86.65,0.315
10,51.66,0.314
10,47.57,0.314
10,33.19,0.358
12,95.36,0.358
10,35.57,0.364
10,36.33,0.364
10,44.77,0.372
11,67.81,0.372
12,77.19,0.403
10,35.72,0.368
10,52.18,0.374
10,55.45,0.377
10,46.2,0.37
10,31.32,0.346
10,35.2,0.327
10,55.8,0.389
10,36.39,0.382
12,73.35,0.366
10,36.51,0.354
10,37.38,0.339
10,46.82,0.324
10,17.05,0.323
10,20.31,0.363
10,35.81,0.345
10,24.1,0.334
10,31.25,0.339
10,17.61,0.323
10,25.36,0.324
10,20.84,0.324
10,24.4,0.321
10,13.67,0.342
10,12.83,0.334
10,4.6,0.358
10,29.08,0.348
10,9.1,0.32
10,14.62,0.338
10,20.16,0.337
10,24.08,0.345
10,31.83,0.321
10,9.5,0.303
11,44.57,0.316
11,-2.19,0.305
11,7.88,0.306
12,6.09,0.307
12,5.48,0.317
12,8.24,0.338
12,34.41,0.258
12,16.54,0.277
12,17.24,0.299
12,13.4,0.304
12,2.09,0.314
11,8.7,0.312
11,8.27,0.316
11,15.87,0.307
10,15.14,0.306
10,12.69,0.312
12,78.2,0.314
10,2.32,0.306
10,17.13,0.286
10,21.61,0.29
10,11.65,0.292
10,18.57,0.296
10,25.82,0.289
11,67.98,0.281
10,19.42,0.272
10,37.32,0.272
10,21.87,0.293
12,94.6,0.299
10,19.95,0.3
10,18.49,0.304
10,19.46,0.301
10,18.84,0.306
10,14.22,0.311
10,32.31,0.324
10,15.05,0.321
10,14.36,0.318
10,19.91,0.312
10,18.07,0.309
10,10.48,0.309
10,19.15,0.31
10,20.28,0.311
10,22.69,0.312
10,16.6,0.312
10,18.45,0.315
10,12.97,0.315
10,33.45,0.31
10,7.11,0.31
10,18.86,0.336
10,16.06,0.336
10,13.35,0.344
10,7.24,0.344
10,12.15,0.345
10,12.11,0.345
10,9.48,0.362
10,20.75,0.362
10,29.85,0.346
10,17.67,0.346
10,21.15,0.35
10,12.02,0.35
10,12.95,0.369
10,6.44,0.369
10,17.5,0.366
10,26.0,0.366
10,20.89,0.351
10,17.93,0.351
10,10.3,0.38
10,9.55,0.38
10,40.25,0.349
10,20.45,0.349
10,22.47,0.386
10,17.03,0.386
10,13.73,0.401
10,12.19,0.401
10,19.32,0.396
10,30.01,0.396
10,21.24,0.399
12,77.97,0.399
10,15.82,0.365
10,12.67,0.365
10,25.11,0.378
10,19.66,0.378
10,36.48,0.431
10,36.43,0.431
10,57.48,0.457
10,46.74,0.457
10,42.96,0.46
11,65.61,0.46
10,61.89,0.452
12,99.63,0.646
12,93.67,0.473
12,86.67,0.486
10,16.3,0.435
10,37.11,0.435
10,23.97,0.413
10,31.54,0.413
12,90.56,0.466
10,47.95,0.457
10,30.8,0.44
11,70.22,0.505
12,93.6,0.561
11,72.72,0.494
10,63.42,0.489
11,68.27,0.448
10,43.93,0.471
12,89.18,0.499
12,100.0,1.099
10,48.35,0.508
12,99.99,2.619
12,99.92,0.972
12,88.25,0.577
10,31.46,0.528
10,27.09,0.542
10,62.76,0.559
10,54.46,0.503
10,51.36,0.525
10,36.52,0.497
10,24.94,0.482
10,16.99,0.503
10,47.86,0.538
10,28.18,0.453
10,16.51,0.406
10,18.85,0.447
11,70.59,0.435
10,23.88,0.456
10,38.42,0.472
11,66.23,0.502
12,86.88,0.568
10,15.87,0.529
12,89.63,0.543
12,76.1,0.547
12,83.27,0.562
12,85.38,0.581
12,85.1,0.549
10,58.29,0.575
12,93.94,0.722
10,47.65,0.667
12,98.54,0.839
12,99.92,1.169
12,98.53,0.926
12,94.58,0.708
12,92.64,0.663
12,92.99,0.573
12,96.05,0.539
12,85.49,0.376
12,98.5,0.617
12,93.77,0.667
12,98.89,0.73
12,86.74,0.486
12,99.74,0.67
12,98.83,0.564
12,96.32,0.489
11,71.97,0.463
11,23.78,0.466
10,60.62,0.493
12,92.01,0.497
12,99.94,0.512
10,58.74,0.515
12,99.04,0.54
12,95.17,0.507
12,83.16,0.511
12,83.94,0.491
12,99.37,0.598
12,87.01,0.549
12,99.17,0.782
12,84.26,0.561
12,93.15,0.494
12,92.31,0.541
12,99.36,0.732
12,94.85,1.178
12,99.88,0.855
12,95.16,0.607
12,98.5,0.636
12,86.31,0.575
12,96.94,0.704
12,98.95,0.831
12,90.3,0.592
12,99.19,0.642
12,99.99,1.158
12,99.99,0.787
12,99.93,0.957
12,99.98,0.797
12,87.89,0.478
12,94.77,0.684
12,74.71,0.644
11,71.54,0.526
12,97.73,0.492
10,31.89,0.496
10,51.89,0.516
12,96.38,0.469
10,30.03,0.485
12,95.96,0.509
10,22.01,0.531
10,32.14,0.544
10,15.43,0.536
12,94.17,0.612
12,97.65,0.57
12,95.24,0.531
12,77.07,0.599
12,93.17,0.687
11,64.94,0.572
12,99.99,0.576
12,96.65,0.615
12,82.68,0.558
10,37.62,0.556
12,83.21,0.597
10,60.67,0.602
10,53.84,0.661
12,98.4,0.596
11,68.78,0.736
12,79.07,0.801
12,89.55,0.733
10,37.77,0.672
12,97.23,0.609
10,55.56,0.638
10,13.44,0.706
10,44.57,0.824
10,17.69,0.8
12,84.56,0.713
12,98.51,0.635
10,40.23,0.708
10,40.21,0.775
12,93.82,0.708
10,16.29,0.649
10,17.36,0.75
12,83.26,0.763
12,97.01,0.667
10,39.88,0.634
12,99.94,0.626
10,21.82,0.725
12,87.33,0.633
10,20.05,0.658
10,31.63,0.615
10,13.55,0.611
10,18.92,0.611
10,10.04,0.627
10,6.33,0.651
10,31.68,0.667
10,59.23,0.662
10,26.56,0.563
12,93.17,0.632
10,32.7,0.598
10,50.34,0.617
10,18.52,0.672
12,88.41,0.713
10,49.62,0.68
10,45.59,0.631
10,23.73,0.558
11,11.98,0.556
11,9.43,0.511
12,83.56,0.501
12,46.04,0.479
12,86.9,0.479
12,53.46,0.48
12,94.21,0.415
12,28.96,0.186
12,-7.73,0.215
12,7.47,0.229
12,4.16,0.239
12,7.64,0.231
11,7.1,0.226
11,4.08,0.224
11,9.98,0.221
10,0.53,0.224
10,8.01,0.226
10,24.52,0.227
10,19.16,0.228
10,1.97,0.234
10,15.93,0.235
10,28.18,0.235
10,21.0,0.235
10,7.96,0.236
10,13.39,0.23
10,17.34,0.241
10,19.25,0.24
10,39.76,0.257
10,23.16,0.258
10,25.94,0.258
10,13.24,0.256
10,23.57,0.245
10,18.55,0.245
10,11.16,0.248
10,19.09,0.249
10,16.95,0.26
10,41.04,0.264
10,18.88,0.252
10,11.86,0.244
10,10.37,0.244
10,2.43,0.254
10,6.46,0.254
10,29.55,0.256
10,23.36,0.256
10,30.45,0.253
10,26.96,0.253
10,17.6,0.255
10,20.42,0.255
10,13.65,0.256
10,11.33,0.256
10,16.98,0.26
10,33.26,0.26
10,17.53,0.257
10,28.77,0.257
10,27.06,0.261
10,26.5,0.261
10,14.91,0.269
10,24.07,0.269
10,16.18,0.281
10,12.06,0.281
10,15.7,0.278
10,24.29,0.278
10,23.01,0.278
10,19.0,0.278
10,20.32,0.281
10,40.88,0.281
10,34.88,0.275
10,23.08,0.275
10,14.42,0.275
10,5.19,0.275
10,30.23,0.278
12,99.73,0.278
10,27.57,0.26
10,18.34,0.26
10,14.45,0.262
12,97.22,0.262
10,22.79,0.281
10,26.44,0.281
10,20.64,0.283
10,20.62,0.283
10,14.89,0.284
10,11.97,0.284
11,69.5,0.287
12,87.12,0.287
10,31.66,0.294
10,28.45,0.294
10,15.38,0.291
10,4.87,0.291
10,28.37,0.336
12,99.89,0.336
10,38.01,0.302
10,24.3,0.302
10,20.31,0.411
12,99.99,0.411
10,30.22,0.318
10,36.42,0.318
10,24.68,0.31
10,12.88,0.31
10,20.76,0.314
10,17.7,0.314
10,16.72,0.305
10,13.43,0.305
10,18.73,0.309
10,17.27,0.309
10,8.56,0.302
10,12.82,0.302
10,18.81,0.305
10,23.86,0.305
10,43.38,0.315
10,23.12,0.315
10,19.83,0.34
10,42.59,0.34
12,74.21,0.339
12,99.51,0.339
10,52.92,0.346
10,54.51,0.346
12,93.35,0.516
12,97.34,0.38
10,45.37,0.367
10,39.61,0.367
11,64.16,0.357
11,66.16,0.357
11,72.88,0.385
12,92.05,0.34
10,29.37,0.321
10,28.17,0.321
10,12.05,0.325
12,97.94,0.326
10,41.18,0.332
10,12.94,0.309
10,13.0,0.318
10,8.96,0.315
12,95.18,0.34
12,96.66,0.329
10,43.03,0.337
12,76.85,0.339
10,44.07,0.326
10,48.11,0.329
10,14.42,0.332
10,18.41,0.344
10,32.65,0.343
10,28.57,0.332
12,79.09,0.365
11,70.0,0.368
12,97.69,0.455
10,46.94,0.342
10,8.93,0.32
10,16.06,0.326
11,64.18,0.336
12,82.63,0.334
10,7.45,0.309
10,12.04,0.304
10,19.96,0.31
10,12.51,0.302
11,12.0,0.311
12,82.06,0.323
11,17.05,0.31
12,99.02,0.32
12,97.29,0.325
12,92.49,0.347
12,91.76,0.432
12,92.26,0.265
12,37.35,0.215
12,97.93,0.323
12,30.45,0.366
12,97.13,0.432
12,91.94,0.42
12,91.6,0.399
12,88.96,0.587
12,76.91,0.527
10,27.63,0.443
10,51.33,0.473
11,13.21,0.473
10,26.53,0.489
12,86.01,0.666
12,99.76,0.816
12,99.06,0.921
12,99.75,0.97
12,94.65,0.806
12,99.91,1.14
12,93.56,0.809
12,95.62,0.983
12,96.28,1.512
12,99.3,1.341
12,98.15,1.65
12,90.94,1.45
12,98.78,1.48
12,98.5,1.151
12,99.83,1.223
12,98.0,1.372
12,97.59,1.243
12,97.21,1.441
12,99.5,1.408
12,97.69,1.114
12,96.69,1.246
12,99.89,1.413
12,96.87,1.646
12,99.92,2.44
12,99.93,2.288
12,89.87,1.077
12,79.32,0.857
12,91.43,0.842
12,95.2,0.739
12,91.15,0.825
12,99.51,1.209
12,99.09,2.128
12,99.74,1.835
12,99.52,1.137
12,99.36,1.286
12,99.58,1.428
12,76.24,0.817
12,98.53,1.827
12,99.55,2.212
12,97.54,1.732
12,99.4,1.922
12,87.26,1.796
12,99.48,0.904
12,98.69,0.992
12,99.13,1.085
12,99.87,1.324
12,99.51,1.086
12,95.79,0.847
12,79.09,0.711
12,99.7,1.376
12,98.0,1.531
12,99.95,2.264
12,99.33,1.208
12,99.83,0.76
12,95.93,0.607
12,99.27,0.766
12,98.26,1.404
12,98.69,1.542
12,99.63,1.837
12,96.53,1.385
12,98.55,1.416
12,98.86,1.99
12,97.42,2.042
12,99.04,1.463
12,99.01,1.463
12,97.06,2.476
12,99.41,2.241
12,99.73,2.461
12,95.52,2.079
12,98.95,2.313
12,98.69,1.599
12,99.18,1.246
12,97.35,1.17
12,95.88,1.25
12,90.63,1.18
12,97.64,1.352
12,97.84,1.204
12,96.87,1.579
12,99.32,1.519
12,97.51,1.386
12,96.96,1.421
12,98.27,1.261
12,96.8,2.071
12,84.83,2.372
12,93.96,1.317
12,98.79,0.693
12,98.74,0.509
12,99.83,1.31
12,99.72,2.601
12,98.99,2.558
12,999.0,2.391
12,92.73,1.634
12,99.84,1.404
12,99.9,0.893
10,30.34,0.353
10,38.76,0.446
12,98.78,0.554
12,97.53,0.574
12,99.98,2.735
12,99.81,0.557
12,99.98,1.339
12,99.98,3.039
12,86.81,0.486
10,60.07,0.547
10,47.26,0.489
10,27.64,0.498
10,25.0,0.479
10,44.94,0.435
12,82.64,0.453
12,99.96,0.46
11,64.65,0.439
10,16.84,0.384
10,27.52,0.369
10,50.42,0.348
10,19.84,0.388
10,3.91,0.357
10,17.3,0.357
12,99.6,0.363
12,81.38,0.363
12,99.78,0.386
12,97.01,0.386
12,91.52,0.445
12,98.9,0.419
12,91.85,0.401
12,99.69,0.401
10,17.85,0.375
10,35.28,0.375
12,98.67,0.41
12,93.08,0.417
12,96.04,0.417
12,99.92,0.499
12,96.81,0.514
12,98.03,0.422
12,89.66,0.422
11,64.93,0.386
12,97.82,0.386
10,47.93,0.368
12,97.93,0.368
10,21.76,0.361
10,41.23,0.361
10,9.26,0.332
10,17.04,0.332
12,85.21,0.354
12,99.0,0.354
10,42.86,0.375
11,68.06,0.375
12,90.06,0.405
12,93.64,0.405
12,97.37,0.443
12,76.43,0.342
10,24.32,0.342
10,27.7,0.33
10,44.87,0.33
12,99.74,0.455
10,47.28,0.329
10,48.7,0.329
12,96.96,0.529
12,99.83,0.529
10,24.09,0.352
10,46.15,0.352
12,99.99,4.109
12,100.0,1.504
12,100.0,2.784
12,84.17,0.413
12,99.99,0.969
10,14.46,0.354
10,62.36,0.354
12,99.99,4.939
12,88.15,0.403
12,99.99,3.958
12,86.61,0.439
12,95.5,0.458
12,93.2,0.387
12,76.44,0.388
11,66.4,0.356
12,93.63,0.45
12,93.6,0.409
10,59.06,0.408
12,99.61,0.438
12,100.0,1.71
10,62.74,0.379
12,93.58,0.384
12,92.93,0.515
12,99.99,2.708
12,99.97,0.603
12,91.14,0.495
12,99.44,0.555
12,97.27,0.455
12,99.1,0.54
12,97.27,0.557
12,83.79,0.534
10,15.32,0.475
11,72.57,0.499
12,88.15,0.532
12,99.87,2.9
12,91.36,0.568
12,83.15,0.562
12,98.37,0.477
12,92.35,0.511
12,96.45,0.515
10,50.93,0.492
11,49.81,0.48
11,19.64,0.475
12,76.38,0.474
12,77.98,0.519
12,18.44,0.505
12,23.63,0.512
12,95.98,0.666
12,999.0,3.739
12,99.99,4.144
12,99.91,4.448
12,99.98,4.291
12,99.98,2.488
12,98.67,1.868
12,100.0,4.341
12,99.92,4.341
12,99.97,3.973
12,99.91,2.743
12,98.38,1.367
12,999.0,4.858
12,99.99,3.993
12,93.17,3.362
12,99.98,1.348
12,999.0,2.224
12,99.99,1.975
12,99.94,5.129
12,99.64,5.225
12,-75.45,2.332
12,86.39,1.153
12,99.94,1.388
12,99.93,1.18
12,97.66,1.209
12,99.95,1.802
12,99.96,1.85
12,99.88,1.374
12,94.43,0.932
12,99.99,3.42
12,95.5,0.88
12,94.48,0.872
12,99.51,0.952
12,99.99,1.462
10,50.91,0.853
10,36.14,0.789
12,99.84,0.849
10,37.65,0.801
10,40.97,0.802
10,17.55,0.756
10,56.25,0.724
11,69.95,0.693
10,30.86,0.656
10,35.45,0.728
10,60.73,0.65
12,98.92,0.671
10,19.2,0.562
10,16.08,0.554
12,90.46,0.656
12,96.14,0.549
10,9.73,0.557
10,15.48,0.538
10,49.6,0.539
11,69.78,0.523
10,37.34,0.516
10,17.48,0.501
10,41.8,0.481
10,59.49,0.467
10,22.64,0.47
10,5.72,0.47
10,36.89,0.457
10,36.09,0.484
10,33.36,0.49
10,12.01,0.484
10,59.5,0.489
12,95.68,0.493
10,19.51,0.495
11,15.26,0.472
12,57.75,0.486
11,24.69,0.466
12,46.3,0.434
12,47.77,0.433
12,-3.25,0.445
12,97.96,0.632
12,15.38,0.359
12,99.96,2.036
12,96.5,2.484
12,99.99,2.972
12,98.49,2.287
12,99.94,1.332
12,999.0,2.773
12,95.68,2.662
12,99.66,0.846
12,99.97,1.337
12,999.0,3.16
12,99.99,3.677
12,99.93,4.312
12,999.0,3.607
12,97.61,4.125
12,93.32,3.423
12,99.21,0.878
12,99.87,0.916
12,99.46,0.734
11,70.76,0.791
12,95.16,0.826
