so2_data_quality,atmospheric_variability,aerosol_optical_depth
22,99.87,1.164
21,17.62,0.105
22,99.95,0.314
21,60.05,0.121
22,85.22,0.124
22,99.99,1.406
22,99.99,4.021
22,52.63,4.412
22,99.79,5.414
22,-654.26,5.039
22,99.64,3.524
22,-42.26,4.684
22,99.97,5.495
22,98.64,5.852
22,999.0,5.494
22,999.0,5.067
22,999.0,4.169
22,99.72,6.234
22,99.97,4.988
22,999.0,2.995
22,94.03,2.918
22,99.29,0.279
21,20.66,0.196
22,99.95,0.46
22,92.99,0.202
22,76.18,0.203
21,25.96,0.194
22,79.64,0.236
22,99.94,3.776
22,999.0,4.286
22,99.95,0.221
22,97.15,0.175
21,-0.11,0.161
22,88.45,0.162
21,13.95,0.164
21,3.24,0.162
21,38.6,0.16
21,6.38,0.156
21,11.0,0.15
22,99.97,0.284
22,99.97,4.184
22,99.44,3.182
22,99.92,2.912
22,54.38,1.3
22,73.27,0.142
22,95.45,0.134
21,8.9,0.145
21,3.31,0.149
21,13.66,0.149
21,0.98,0.149
21,10.36,0.154
21,24.24,0.162
22,94.31,0.163
22,93.04,0.159
21,60.59,0.153
21,11.39,0.159
21,-1.47,0.163
21,3.88,0.162
21,6.42,0.158
21,35.14,0.165
21,36.05,0.181
22,83.5,0.193
22,99.98,1.697
22,99.77,2.923
22,99.71,2.798
22,97.99,1.483
22,75.82,0.218
22,98.73,0.418
22,96.62,0.221
22,94.31,0.208
21,2.45,0.199
21,1.83,0.198
22,85.72,0.205
22,99.5,0.537
22,63.74,1.782
21,21.57,0.208
21,2.5,0.184
21,-2.91,0.183
21,2.83,0.185
22,89.83,0.189
21,1.76,0.189
21,-4.88,0.19
21,0.92,0.191
21,0.64,0.192
21,-0.44,0.19
21,-7.28,0.192
21,1.14,0.195
21,-3.41,0.197
21,1.95,0.202
21,-0.64,0.21
21,0.91,0.214
21,-0.91,0.211
21,-5.91,0.209
21,-4.32,0.211
21,3.18,0.214
21,-1.84,0.214
21,-3.38,0.215
21,-1.31,0.219
22,99.42,0.251
21,0.12,0.223
21,7.22,0.222
21,8.9,0.223
21,-2.17,0.231
21,9.25,0.235
21,4.84,0.234
21,-0.59,0.236
21,3.41,0.24
21,9.35,0.247
22,99.61,0.255
21,6.33,0.258
21,13.2,0.262
21,3.57,0.26
21,2.2,0.259
21,-3.21,0.255
21,-13.47,0.251
21,4.32,0.253
21,8.68,0.283
22,-6.89,0.28
22,-9.2,0.275
22,-13.9,0.275
22,3.76,0.271
22,-4.66,0.266
22,9.12,0.265
22,8.58,0.273
22,5.23,0.282
22,24.77,0.284
22,0.04,0.286
22,9.53,0.29
22,-4.73,0.286
22,2.35,0.293
22,8.33,0.287
22,28.8,0.292
22,-5.64,0.297
22,22.38,0.299
22,0.95,0.287
22,-15.92,0.284
22,-7.99,0.272
22,-38.69,0.292
22,-4.73,0.291
22,4.1,0.268
22,6.77,0.286
22,25.3,0.278
22,35.16,0.249
22,35.89,0.22
22,-78.61,0.265
22,-8.53,0.292
22,1.16,0.285
22,-19.53,0.322
22,20.76,0.348
22,-9.88,0.366
22,56.22,0.365
22,20.17,0.38
22,14.79,0.383
22,19.69,0.374
22,28.13,0.362
22,14.39,0.365
22,-1.74,0.357
22,34.13,0.357
22,17.22,0.378
22,82.29,0.395
22,62.96,0.415
22,98.8,0.947
22,97.79,1.362
22,97.62,0.438
22,95.22,0.413
22,99.37,0.453
22,98.53,0.452
22,99.99,1.375
22,99.95,0.627
22,94.45,0.396
22,92.78,0.396
22,99.98,0.734
22,99.68,0.778
22,99.58,1.718
22,99.93,0.782
22,99.99,1.182
22,99.98,0.8
22,99.97,0.544
22,81.72,0.371
22,99.94,0.505
22,99.82,0.469
22,99.75,2.256
22,-98.4,0.995
22,82.14,0.467
22,89.29,0.328
22,99.43,0.314
21,49.74,0.314
22,99.98,0.481
22,97.96,0.333
21,45.59,0.295
21,39.21,0.309
22,82.57,0.323
22,81.3,0.323
22,99.53,0.332
22,99.99,1.157
22,99.99,1.218
22,95.09,0.31
22,86.19,0.311
22,99.82,1.793
22,99.81,0.402
22,99.82,0.661
21,66.2,0.303
21,13.84,0.267
21,65.35,0.263
21,47.44,0.257
21,20.38,0.267
21,37.54,0.283
22,98.88,0.304
22,99.99,0.402
22,87.6,0.31
22,93.57,0.322
22,99.98,0.896
21,46.39,0.276
22,76.26,0.26
22,82.97,0.251
21,34.35,0.241
21,4.2,0.231
21,29.2,0.238
21,17.82,0.239
21,50.33,0.23
21,29.85,0.228
21,15.0,0.211
21,19.08,0.215
21,34.1,0.207
21,65.47,0.215
21,6.33,0.21
21,39.26,0.218
21,38.57,0.227
22,94.75,0.27
21,25.43,0.296
22,99.26,0.477
22,99.16,1.155
22,-26.31,0.851
22,99.97,0.416
22,99.99,1.677
22,999.0,1.888
22,999.0,1.849
22,100.0,1.547
22,99.99,3.353
22,99.94,0.852
22,99.99,2.47
22,99.92,0.561
22,99.66,1.767
22,-6.98,2.027
22,99.88,0.359
22,99.97,0.799
22,98.32,0.238
22,82.28,0.243
21,45.48,0.231
22,99.16,0.286
21,50.93,0.193
21,13.56,0.18
22,99.92,0.295
22,99.98,3.738
22,99.23,0.57
22,99.99,3.619
22,99.99,4.352
22,99.96,1.123
22,88.93,0.196
22,99.99,1.944
21,70.36,0.214
21,16.69,0.199
22,90.72,0.204
22,97.53,0.215
21,59.14,0.171
21,59.75,0.192
22,99.87,0.508
21,12.34,0.186
22,-78.01,1.377
22,99.64,0.174
22,99.75,0.262
21,50.54,0.202
22,99.98,2.801
22,999.0,2.077
22,86.77,1.668
22,88.83,0.173
22,99.49,0.317
22,99.99,0.878
21,39.02,0.193
22,92.37,0.21
21,62.55,0.16
22,99.98,5.723
22,999.0,2.359
22,86.05,0.151
21,52.58,0.122
21,48.11,0.105
21,49.31,0.133
22,89.31,0.105
21,64.13,0.089
21,49.31,0.124
22,99.99,0.441
22,97.66,0.115
22,99.99,0.868
22,48.41,0.33
22,99.94,0.218
22,86.82,0.07
21,72.84,0.108
22,79.26,0.084
22,99.23,0.477
22,74.0,0.047
22,99.9,5.968
22,99.99,2.114
22,99.99,3.515
22,18.95,0.87
22,97.13,6.38
22,999.0,2.36
21,20.19,0.083
21,23.04,0.088
21,38.99,0.088
22,73.92,0.106
21,22.81,0.071
21,49.78,0.075
22,80.23,0.102
22,99.98,0.551
22,99.93,1.459
21,44.4,0.107
21,37.35,0.108
21,41.57,0.109
21,44.07,0.147
21,58.77,0.143
22,99.98,0.342
21,33.85,0.08
21,52.51,0.075
21,26.05,0.092
21,59.43,0.118
21,25.96,0.153
22,99.88,0.254
22,99.96,4.084
22,99.63,0.852
22,88.6,0.147
22,79.95,0.148
22,99.99,0.546
22,96.78,1.028
22,99.8,0.156
22,99.98,1.101
22,99.99,0.405
22,99.98,0.283
22,99.97,0.539
22,98.66,1.023
22,99.99,0.628
22,99.99,2.344
